Current_Date,Location,Next_Date,HCHO_reading
2019-03-29,"Bibile, Monaragala",2019-03-30,0.00018187742037292502
2019-03-30,"Bibile, Monaragala",2019-03-31,0.000286010842239
2019-03-31,"Bibile, Monaragala",2019-04-01,0.0001691464753809
2019-04-01,"Bibile, Monaragala",2019-04-02,0.0002311358269746
2019-04-02,"Bibile, Monaragala",2019-04-03,0.0001839505016603
2019-04-03,"Bibile, Monaragala",2019-04-04,0.0002120842642893
2019-04-04,"Bibile, Monaragala",2019-04-05,2.6559009192573397e-05
2019-04-05,"Bibile, Monaragala",2019-04-06,8.134434422682388e-05
2019-04-06,"Bibile, Monaragala",2019-04-07,0.0001323410016791
2019-04-07,"Bibile, Monaragala",2019-04-08,0.0001584331711474
2019-04-08,"Bibile, Monaragala",2019-04-09,0.0002055366407123
2019-04-09,"Bibile, Monaragala",2019-04-10,0.0002659180015952
2019-04-10,"Bibile, Monaragala",2019-04-11,0.0001209464124475
2019-04-11,"Bibile, Monaragala",2019-04-12,8.419718674038091e-05
2019-04-12,"Bibile, Monaragala",2019-04-13,6.731434962449994e-05
2019-04-13,"Bibile, Monaragala",2019-04-14,0.000172293422113
2019-04-14,"Bibile, Monaragala",2019-04-15,0.00011980388586875
2019-04-15,"Bibile, Monaragala",2019-04-16,0.00014033514753071364
2019-04-16,"Bibile, Monaragala",2019-04-17,0.0001666256555624667
2019-04-17,"Bibile, Monaragala",2019-04-18,0.00011769039828823577
2019-04-18,"Bibile, Monaragala",2019-04-19,-1.7637499327927978e-05
2019-04-19,"Bibile, Monaragala",2019-04-20,3.0456606050663316e-05
2019-04-20,"Bibile, Monaragala",2019-04-21,3.9441730173904633e-05
2019-04-21,"Bibile, Monaragala",2019-04-22,-2.3242276785227024e-05
2019-04-22,"Bibile, Monaragala",2019-04-23,8.09972669433883e-06
2019-04-23,"Bibile, Monaragala",2019-04-24,0.0001087346840901
2019-04-24,"Bibile, Monaragala",2019-04-25,0.0001426274278835
2019-04-25,"Bibile, Monaragala",2019-04-26,9.96355798352149e-05
2019-04-26,"Bibile, Monaragala",2019-04-27,8.252209523456666e-05
2019-04-27,"Bibile, Monaragala",2019-04-28,5.5807390771875114e-05
2019-04-28,"Bibile, Monaragala",2019-04-29,0.0002504993387901
2019-04-29,"Bibile, Monaragala",2019-04-30,0.0001531533647809876
2019-04-30,"Bibile, Monaragala",2019-05-01,0.00013767483675419998
