Current_Date,Location,Next_Date,HCHO_reading
2019-03-26,Nuwara Eliya Proper,2019-03-27,8.722993536189284e-05
2019-03-27,Nuwara Eliya Proper,2019-03-28,9.746027246583777e-05
2019-03-28,Nuwara Eliya Proper,2019-03-29,0.0001692817181159
2019-03-29,Nuwara Eliya Proper,2019-03-30,0.0001940701991971
2019-03-30,Nuwara Eliya Proper,2019-03-31,0.000199954111486
2019-03-31,Nuwara Eliya Proper,2019-04-01,0.0001030857769564
2019-04-01,Nuwara Eliya Proper,2019-04-02,0.0001345494559591
2019-04-02,Nuwara Eliya Proper,2019-04-03,0.000144982511753
2019-04-03,Nuwara Eliya Proper,2019-04-04,0.0001425276102801
2019-04-04,Nuwara Eliya Proper,2019-04-05,0.0001196842667319
2019-04-05,Nuwara Eliya Proper,2019-04-06,0.000135435961181025
2019-04-06,Nuwara Eliya Proper,2019-04-07,0.0001029167153844
2019-04-07,Nuwara Eliya Proper,2019-04-08,0.0001217095307988
2019-04-08,Nuwara Eliya Proper,2019-04-09,6.757815417269227e-05
2019-04-09,Nuwara Eliya Proper,2019-04-10,8.524743477854615e-05
2019-04-10,Nuwara Eliya Proper,2019-04-11,8.524743477854615e-05
2019-04-11,Nuwara Eliya Proper,2019-04-12,-3.0204162612790245e-05
2019-04-12,Nuwara Eliya Proper,2019-04-13,0.0001408357462238
2019-04-13,Nuwara Eliya Proper,2019-04-14,0.0001905907485365
2019-04-14,Nuwara Eliya Proper,2019-04-15,0.00010040744404916994
2019-04-15,Nuwara Eliya Proper,2019-04-16,0.00010040744404916994
2019-04-16,Nuwara Eliya Proper,2019-04-17,0.00016571324738015003
2019-04-17,Nuwara Eliya Proper,2019-04-18,0.0001905907485365
2019-04-18,Nuwara Eliya Proper,2019-04-19,0.00010972742223911779
2019-04-19,Nuwara Eliya Proper,2019-04-20,-5.74071960045633e-05
2019-04-20,Nuwara Eliya Proper,2019-04-21,-5.74071960045633e-05
2019-04-21,Nuwara Eliya Proper,2019-04-22,-5.74071960045633e-05
2019-04-22,Nuwara Eliya Proper,2019-04-23,0.0001024999823835
2019-04-23,Nuwara Eliya Proper,2019-04-24,0.0001742585006953
2019-04-24,Nuwara Eliya Proper,2019-04-25,0.0001383792415394
2019-04-25,Nuwara Eliya Proper,2019-04-26,-4.44070437953798e-05
2019-04-26,Nuwara Eliya Proper,2019-04-27,7.111501928962651e-05
2019-04-27,Nuwara Eliya Proper,2019-04-28,0.00012411952416261168
2019-04-28,Nuwara Eliya Proper,2019-04-29,0.0001093271878134
2019-04-29,Nuwara Eliya Proper,2019-04-30,4.5345054435882255e-05
2019-04-30,Nuwara Eliya Proper,2019-05-01,9.022110355151329e-05
2019-05-01,Nuwara Eliya Proper,2019-05-02,0.0001203378887073
2019-05-02,Nuwara Eliya Proper,2019-05-03,0.0001336923031109
2019-05-03,Nuwara Eliya Proper,2019-05-04,0.00012701509590910001
2019-05-04,Nuwara Eliya Proper,2019-05-05,7.002533500214887e-05
2019-05-05,Nuwara Eliya Proper,2019-05-06,4.388346007494007e-05
2019-05-06,Nuwara Eliya Proper,2019-05-07,0.0001055412390811
2019-05-07,Nuwara Eliya Proper,2019-05-08,0.0001036462577021
2019-05-08,Nuwara Eliya Proper,2019-05-09,5.81859056799875e-05
2019-05-09,Nuwara Eliya Proper,2019-05-10,0.0002151863254373
2019-05-10,Nuwara Eliya Proper,2019-05-11,0.0001520700378357
2019-05-11,Nuwara Eliya Proper,2019-05-12,8.896596670445717e-05
2019-05-12,Nuwara Eliya Proper,2019-05-13,0.0001286020589143612
2019-05-13,Nuwara Eliya Proper,2019-05-14,0.00015207410999248575
2019-05-14,Nuwara Eliya Proper,2019-05-15,0.0002790974952239
2019-05-15,Nuwara Eliya Proper,2019-05-16,0.0002221362230624
2019-05-16,Nuwara Eliya Proper,2019-05-17,0.0001343666372122
2019-05-17,Nuwara Eliya Proper,2019-05-18,0.00021186678516616668
2019-05-18,Nuwara Eliya Proper,2019-05-19,0.00021186678516616668
2019-05-19,Nuwara Eliya Proper,2019-05-20,0.0002702439378481
2019-05-20,Nuwara Eliya Proper,2019-05-21,8.031848961353504e-05
2019-05-21,Nuwara Eliya Proper,2019-05-22,0.0001222873862844
2019-05-22,Nuwara Eliya Proper,2019-05-23,0.00015761660458201167
2019-05-23,Nuwara Eliya Proper,2019-05-24,0.00015761660458201167
2019-05-24,Nuwara Eliya Proper,2019-05-25,0.00010130293794896752
2019-05-25,Nuwara Eliya Proper,2019-05-26,-5.063913101987346e-05
2019-05-26,Nuwara Eliya Proper,2019-05-27,3.6341561558326346e-05
2019-05-27,Nuwara Eliya Proper,2019-05-28,0.0001195644109596
2019-05-28,Nuwara Eliya Proper,2019-05-29,9.84078342114136e-05
2019-05-29,Nuwara Eliya Proper,2019-05-30,0.0001370126083911
2019-05-30,Nuwara Eliya Proper,2019-05-31,5.092769901518664e-05
2019-05-31,Nuwara Eliya Proper,2019-06-01,9.397015370314331e-05
2019-06-01,Nuwara Eliya Proper,2019-06-02,5.587982157832464e-05
2019-06-02,Nuwara Eliya Proper,2019-06-03,3.772535689224513e-05
2019-06-03,Nuwara Eliya Proper,2019-06-04,-1.7709887699493803e-05
2019-06-04,Nuwara Eliya Proper,2019-06-05,9.4202704386244e-05
2019-06-05,Nuwara Eliya Proper,2019-06-06,2.5298430257025324e-05
2019-06-06,Nuwara Eliya Proper,2019-06-07,-7.581763929920271e-05
2019-06-07,Nuwara Eliya Proper,2019-06-08,-4.676376349934826e-05
2019-06-08,Nuwara Eliya Proper,2019-06-09,-7.581763929920271e-05
2019-06-09,Nuwara Eliya Proper,2019-06-10,0.0001042950827648
2019-06-10,Nuwara Eliya Proper,2019-06-11,1.4238721732798642e-05
2019-06-11,Nuwara Eliya Proper,2019-06-12,8.858704770824554e-05
2019-06-12,Nuwara Eliya Proper,2019-06-13,-1.5747418729006313e-05
2019-06-13,Nuwara Eliya Proper,2019-06-14,0.0001989688025787
2019-06-14,Nuwara Eliya Proper,2019-06-15,9.060281051931308e-05
2019-06-15,Nuwara Eliya Proper,2019-06-16,6.074488532642667e-05
2019-06-16,Nuwara Eliya Proper,2019-06-17,0.000101215088715
2019-06-17,Nuwara Eliya Proper,2019-06-18,8.275653874941797e-05
2019-06-18,Nuwara Eliya Proper,2019-06-19,8.291602308825832e-06
2019-06-19,Nuwara Eliya Proper,2019-06-20,4.317640515599125e-05
2019-06-20,Nuwara Eliya Proper,2019-06-21,9.229919803482012e-05
2019-06-21,Nuwara Eliya Proper,2019-06-22,5.6630936062263785e-05
2019-06-22,Nuwara Eliya Proper,2019-06-23,0.0001479365913374
2019-06-23,Nuwara Eliya Proper,2019-06-24,6.17899931725921e-05
2019-06-24,Nuwara Eliya Proper,2019-06-25,0.00010067526084827073
2019-06-25,Nuwara Eliya Proper,2019-06-26,0.00010486329225499602
2019-06-26,Nuwara Eliya Proper,2019-06-27,0.0001348028330007
2019-06-27,Nuwara Eliya Proper,2019-06-28,8.074711312637191e-05
2019-06-28,Nuwara Eliya Proper,2019-06-29,0.0001259997361788
2019-06-29,Nuwara Eliya Proper,2019-06-30,0.0001105386966815
2019-06-30,Nuwara Eliya Proper,2019-07-01,0.0001086163531717
2019-07-01,Nuwara Eliya Proper,2019-07-02,5.762188204561666e-05
2019-07-02,Nuwara Eliya Proper,2019-07-03,0.0001623492259486
2019-07-03,Nuwara Eliya Proper,2019-07-04,0.0001738523006491
2019-07-04,Nuwara Eliya Proper,2019-07-05,-1.9064508329208183e-05
2019-07-05,Nuwara Eliya Proper,2019-07-06,0.0001177761070948
2019-07-06,Nuwara Eliya Proper,2019-07-07,0.0001369265480897
2019-07-07,Nuwara Eliya Proper,2019-07-08,0.0001863186505513
2019-07-08,Nuwara Eliya Proper,2019-07-09,0.00024779655935
2019-07-09,Nuwara Eliya Proper,2019-07-10,0.00017220446627145
2019-07-10,Nuwara Eliya Proper,2019-07-11,0.00019034725266366665
2019-07-11,Nuwara Eliya Proper,2019-07-12,0.0001292302443306
2019-07-12,Nuwara Eliya Proper,2019-07-13,0.0001169642800239
2019-07-13,Nuwara Eliya Proper,2019-07-14,0.00012309726217724993
2019-07-14,Nuwara Eliya Proper,2019-07-15,0.00012309726217724993
2019-07-15,Nuwara Eliya Proper,2019-07-16,0.00012309726217724993
2019-07-16,Nuwara Eliya Proper,2019-07-17,5.911798409791456e-05
2019-07-17,Nuwara Eliya Proper,2019-07-18,3.329885377230573e-05
2019-07-18,Nuwara Eliya Proper,2019-07-19,4.620841893511009e-05
2019-07-19,Nuwara Eliya Proper,2019-07-20,4.620841893511009e-05
2019-07-20,Nuwara Eliya Proper,2019-07-21,4.620841893511009e-05
2019-07-21,Nuwara Eliya Proper,2019-07-22,3.329885377230573e-05
2019-07-22,Nuwara Eliya Proper,2019-07-23,6.736329448732158e-05
2019-07-23,Nuwara Eliya Proper,2019-07-24,9.433908685854995e-05
2019-07-24,Nuwara Eliya Proper,2019-07-25,0.0001659327228923
2019-07-25,Nuwara Eliya Proper,2019-07-26,0.00013013590487542494
2019-07-26,Nuwara Eliya Proper,2019-07-27,0.0001184712242621
2019-07-27,Nuwara Eliya Proper,2019-07-28,0.0001114548395224
2019-07-28,Nuwara Eliya Proper,2019-07-29,4.187517193366405e-05
2019-07-29,Nuwara Eliya Proper,2019-07-30,0.0001617242205137
2019-07-30,Nuwara Eliya Proper,2019-07-31,0.0001080114271866
2019-07-31,Nuwara Eliya Proper,2019-08-01,7.751671709410368e-05
2019-08-01,Nuwara Eliya Proper,2019-08-02,0.0001329736920653
2019-08-02,Nuwara Eliya Proper,2019-08-03,0.00012005651421492588
2019-08-03,Nuwara Eliya Proper,2019-08-04,5.651169903300146e-05
2019-08-04,Nuwara Eliya Proper,2019-08-05,-4.559879989678232e-05
2019-08-05,Nuwara Eliya Proper,2019-08-06,-3.059205259604564e-05
2019-08-06,Nuwara Eliya Proper,2019-08-07,-6.108415254857391e-05
2019-08-07,Nuwara Eliya Proper,2019-08-08,-2.0190826502100126e-05
2019-08-08,Nuwara Eliya Proper,2019-08-09,-4.5758335013800655e-05
2019-08-09,Nuwara Eliya Proper,2019-08-10,-4.583810257230982e-05
2019-08-10,Nuwara Eliya Proper,2019-08-11,-6.108415254857391e-05
2019-08-11,Nuwara Eliya Proper,2019-08-12,-4.321785415919616e-05
2019-08-12,Nuwara Eliya Proper,2019-08-13,7.77476968271163e-06
2019-08-13,Nuwara Eliya Proper,2019-08-14,2.4922579951238e-05
2019-08-14,Nuwara Eliya Proper,2019-08-15,7.506047228552471e-05
2019-08-15,Nuwara Eliya Proper,2019-08-16,2.6195261631010187e-05
2019-08-16,Nuwara Eliya Proper,2019-08-17,2.97461162537858e-05
2019-08-17,Nuwara Eliya Proper,2019-08-18,7.542703779924078e-05
2019-08-18,Nuwara Eliya Proper,2019-08-19,3.799505288802035e-05
2019-08-19,Nuwara Eliya Proper,2019-08-20,3.799505288802035e-05
2019-08-20,Nuwara Eliya Proper,2019-08-21,3.799505288802035e-05
2019-08-21,Nuwara Eliya Proper,2019-08-22,3.799505288802035e-05
2019-08-22,Nuwara Eliya Proper,2019-08-23,3.799505288802035e-05
2019-08-23,Nuwara Eliya Proper,2019-08-24,5.6124266511138414e-05
2019-08-24,Nuwara Eliya Proper,2019-08-25,-3.316495323904968e-05
2019-08-25,Nuwara Eliya Proper,2019-08-26,-3.316495323904968e-05
2019-08-26,Nuwara Eliya Proper,2019-08-27,-3.316495323904968e-05
2019-08-27,Nuwara Eliya Proper,2019-08-28,-4.956128894219332e-06
2019-08-28,Nuwara Eliya Proper,2019-08-29,-1.9060541066634548e-05
2019-08-29,Nuwara Eliya Proper,2019-08-30,-4.956128894219332e-06
2019-08-30,Nuwara Eliya Proper,2019-08-31,2.82110260500617e-05
2019-08-31,Nuwara Eliya Proper,2019-09-01,9.445839367563298e-05
2019-09-01,Nuwara Eliya Proper,2019-09-02,6.13347098628473e-05
2019-09-02,Nuwara Eliya Proper,2019-09-03,8.64964669904217e-05
2019-09-03,Nuwara Eliya Proper,2019-09-04,3.3414233799745706e-05
2019-09-04,Nuwara Eliya Proper,2019-09-05,0.000116729877908
