STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,2/25/2019,0,",,S",85,"H,,S",96,",,S",72,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,2/26/2019,0,",,S",89,"H,,S",95,",,S",75,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,2/27/2019,0,",,S",85,"H,,S",94,",,S",75,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,2/28/2019,0,",,S",83,"H,,S",91,",,S",73,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,3/3/2019,0,",,S",88,"H,,S",96,",,S",73,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,3/4/2019,0,",,S",85,"H,,S",96,",,S",72,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,3/5/2019,0.11,",,S",85,"H,,S",,,74,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,3/6/2019,0,",,S",86,"H,,S",95,",,S",77,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,3/7/2019,0,",,S",86,"H,,S",96,",,S",73,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,3/9/2019,0,",,S",88,"H,,S",96,",,S",74,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,3/10/2019,0.85,",,S",86,"H,,S",96,",,S",72,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,3/11/2019,0,",,S",87,"H,,S",94,",,S",72,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,3/12/2019,0,",,S",83,"H,,S",,,69,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,3/13/2019,0,",,S",83,"H,,S",,,70,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,3/14/2019,0,",,S",86,"H,,S",96,",,S",76,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,3/15/2019,0,",,S",90,"H,,S",98,",,S",71,",,S"
