NAME,LATITUDE,LONGITUDE,ELEVATION,Sea Proximity (approximate-km),Sea Proximity Categorised,Climate Zone,DATE,PRCP,TAVG,TMAX,TMIN
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-02-20,0.5,23.34,27.92,19.5
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-02-21,0.68,23.87,28.84,19.87
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-02-22,0.57,22.75,28.26,18.52
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-02-23,0.16,22.41,28.83,17.05
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-02-24,0.12,23.35,29.62,17.87
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-02-25,1.38,24.69,30.45,19.55
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-02-26,13.7,24.79,29.12,22.46
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-02-27,10.56,24.63,28.27,22.47
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-02-28,0.65,25.26,31.08,21.0
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-03-01,0.15,24.94,30.6,21.46
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-03-02,0.14,24.55,30.01,20.45
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-03-03,1.52,24.7,29.87,20.98
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-03-04,0.43,24.65,30.7,20.04
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-03-05,0.56,25.98,32.11,20.9
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-03-06,0.64,26.79,33.27,21.65
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-03-07,0.07,26.61,33.73,21.28
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-03-08,0.45,26.08,33.46,20.44
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-03-09,1.92,26.11,32.58,21.8
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-03-10,0.44,25.05,31.77,20.6
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-03-11,1.75,24.08,30.5,19.2
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-03-12,0.25,24.34,31.25,18.96
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-03-13,0.02,24.63,31.16,19.37
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-03-14,0.0,25.14,32.24,20.43
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-03-15,0.05,24.24,30.72,18.62
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-03-16,0.15,25.02,31.01,19.67
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-03-17,1.49,25.17,30.3,21.47
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-03-18,3.51,25.39,30.63,21.93
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-03-19,0.22,25.51,32.26,20.95
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-03-20,0.26,25.44,32.82,20.01
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-03-21,3.05,25.74,32.26,20.7
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-03-22,0.49,26.12,32.48,21.94
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-03-23,2.05,26.29,32.47,21.88
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-03-24,0.06,25.72,33.64,20.19
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-03-25,0.01,24.62,32.65,18.36
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-03-26,0.02,25.33,33.19,19.29
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-03-27,0.09,26.1,34.28,19.71
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-03-28,0.01,26.16,34.73,19.67
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-03-29,0.0,26.26,35.05,19.37
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-03-30,0.01,26.59,34.97,19.94
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-03-31,0.13,27.69,36.21,20.69
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-04-01,0.38,28.32,36.62,21.78
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-04-02,0.29,27.65,35.66,21.94
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-04-03,0.17,26.9,34.69,21.65
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-04-04,0.03,26.76,35.66,20.01
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-04-05,0.03,27.58,36.42,21.48
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-04-06,0.05,27.99,36.37,21.62
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-04-07,0.02,28.02,35.25,22.83
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-04-08,0.15,28.45,35.45,23.37
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-04-09,0.12,28.98,35.38,24.26
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-04-10,0.16,28.59,35.33,23.76
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-04-11,1.97,27.75,33.25,24.13
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-04-12,0.75,27.59,33.6,23.38
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-04-13,1.09,28.17,35.19,23.3
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-04-14,0.27,28.28,35.98,22.72
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-04-15,0.42,28.29,35.55,22.53
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-04-16,3.33,27.4,33.22,23.94
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-04-17,12.05,26.46,32.34,23.17
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-04-18,1.71,27.51,34.21,22.73
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-04-19,1.17,27.26,33.53,22.63
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-04-20,3.11,27.23,33.88,22.92
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-04-21,2.46,26.96,34.0,22.26
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-04-22,1.25,27.73,34.34,22.58
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-04-23,1.47,28.04,34.47,23.47
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-04-24,1.82,27.58,34.37,23.05
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-04-25,9.23,27.37,33.43,23.96
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-04-26,3.21,25.54,30.34,22.76
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-04-27,1.34,27.27,34.37,21.94
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-04-28,2.53,28.26,36.15,22.73
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-04-29,9.79,27.41,33.5,22.71
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-04-30,3.01,27.48,33.98,23.37
"Bibile, Monaragala",6.8719,81.3489,151.0,52,Inland,Dry Zone,2019-05-01,1.83,27.4,32.87,23.23
