region,DATE,carbonmonoxide_average,nitrogendioxide_average,ozone_average
"Bibile, Monaragala",2019-01-01,0.03556549549102783,6.801962626923341e-06,0.11300648500521977
"Bibile, Monaragala",2019-01-02,0.03264772891998291,1.1344185622874647e-05,0.11300648500521977
"Bibile, Monaragala",2019-01-03,0.032855406403541565,1.0147959983441979e-05,0.11058871199687322
"Bibile, Monaragala",2019-01-04,0.033473167568445206,9.120284630625974e-06,0.11301102302968502
"Bibile, Monaragala",2019-01-05,0.03410012274980545,9.223555935022887e-06,0.112202073343926
"Bibile, Monaragala",2019-01-06,0.03178868815302849,9.330588909506332e-06,0.11179986751327911
"Bibile, Monaragala",2019-01-07,0.033418718725442886,1.2713774594885763e-05,0.11179986751327911
"Bibile, Monaragala",2019-01-08,0.03319517429918051,6.637254244878932e-06,0.11232466250658035
"Bibile, Monaragala",2019-01-09,0.037646323442459106,8.527208592568059e-06,0.11185482144355774
"Bibile, Monaragala",2019-01-10,0.03585560619831085,8.882101610652171e-06,0.11208974197506905
"Bibile, Monaragala",2019-01-11,0.03523031994700432,9.107593541557435e-06,0.11208974197506905
"Bibile, Monaragala",2019-01-12,0.03459671139717102,1.1406770681787748e-05,0.11181194335222244
"Bibile, Monaragala",2019-01-13,0.035832240246236324,5.50373260921333e-06,0.11183338239789009
"Bibile, Monaragala",2019-01-14,0.03733079135417938,9.729893463372719e-06,0.1104448139667511
"Bibile, Monaragala",2019-01-15,0.03643066808581352,1.2517315553850494e-05,0.11109975973765056
"Bibile, Monaragala",2019-01-16,0.03892849385738373,7.0877413236303255e-06,0.1111188390188747
"Bibile, Monaragala",2019-01-17,0.035116955637931824,5.7886886679625604e-06,0.11077228685220084
"Bibile, Monaragala",2019-01-18,0.03646466135978699,9.351248991151806e-06,0.1130961279074351
"Bibile, Monaragala",2019-01-19,0.036735194735229015,7.204489520518109e-06,0.11022987465063731
"Bibile, Monaragala",2019-01-20,0.03645464157064756,1.0053368896478787e-05,0.1094549298286438
"Bibile, Monaragala",2019-01-21,0.0392138697206974,8.604679351265077e-06,0.11092697746223873
"Bibile, Monaragala",2019-01-22,0.03737772421704399,9.559865247865673e-06,0.11092697746223873
"Bibile, Monaragala",2019-01-23,0.039544202387332916,1.5083930520631839e-05,0.11234110407531261
"Bibile, Monaragala",2019-01-24,0.036607244362433754,1.1996768307653838e-05,0.11208034120500088
"Bibile, Monaragala",2019-01-25,0.039189115166664124,1.32525874505518e-05,0.11186398565769196
"Bibile, Monaragala",2019-01-26,0.038749001920223236,8.301218258566223e-06,0.11111391087373097
"Bibile, Monaragala",2019-01-27,0.03883729875087738,1.1403731150494423e-05,0.1118498354529341
"Bibile, Monaragala",2019-01-28,0.03786693513393402,1.2787983905582223e-05,0.11385195205609004
